cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
35000,0,40,-1,0,1,1
180000,0,65,-1,0,2,1
73000,0,38,-1,0,2,2
88000,0,68,-1,0,3,2
95000,0,68,-1,0,3,2
95000,0,68,-1,0,3,2
270000,0,100,-1,0,4,2
97500,0,53,-1,0,2,3
27000,0,59,-1,0,2,4
69900,0,43,-1,0,2,4
86000,0,52,-1,0,2,4
790000,0,507,-1,0,5,5
40000,0,24,0,0,0,1
43500,0,27,0,0,1,1
45000,0,42,0,0,1.5,1
47000,0,24,0,0,0,1
50000,0,40,0,0,1,1
52000,0,23,0,0,0,1
64000,0,49,0,0,2,1
65000,0,98,0,0,4,1
67000,0,49,0,0,2,1
75000,1,47,0,0,2,1
75000,0,72,0,0,2,1
75000,0,37,0,0,1,1
80000,0,40,0,0,1.5,1
85000,0,68,0,0,3,1
89000,0,30,0,0,1,1
90000,0,56,0,0,2,1
103000,0,33,0,0,1,1
105000,0,53,0,0,2,1
106000,0,51,0,0,2,1
110000,0,35,0,0,2,1
110000,0,49,0,0,2,1
113351,0,54,0,0,3,1
117562,1,68,0,0,3,1
120000,0,68,0,0,3,1
125000,1,59,0,0,3,1
130000,0,50,0,0,2,1
135000,1,85,0,0,3,1
135000,0,55,0,0,2,1
136000,1,85,0,0,3,1
143000,0,51,0,0,1.5,1
145000,0,69,0,0,3,1
145000,0,92,0,0,3,1
146000,0,77,0,0,3,1
156400,1,68,0,0,3,1
157000,1,65,0,0,3,1
157000,1,65,0,0,3,1
157000,0,70,0,0,3,1
160000,0,68,0,0,2,1
164000,0,80,0,0,4,1
165000,0,68,0,0,3,1
169000,0,83,0,0,4,1
169600,0,53,0,0,2,1
170000,1,69,0,0,3,1
170000,0,72,0,0,2,1
174000,0,56,0,0,3,1
175000,0,58,0,0,2,1
185000,0,76,0,0,3,1
185000,0,76,0,0,3,1
185000,0,76,0,0,3,1
185000,0,76,0,0,3,1
185000,1,76,0,0,3,1
185000,0,77,0,0,3,1
189000,0,83,0,0,3,1
190210.5,1,88,0,0,4,1
190381,1,90,0,0,4,1
195000,0,84,0,0,3,1
198000,0,77,0,0,2,1
205000,0,148,0,0,5,1
210000,0,88,0,0,4,1
225000,0,86,0,0,3,1
240000,0,62,0,0,3,1
245000,0,96,0,0,4,1
250000,0,74,0,0,4,1
260000,0,89,0,0,3,1
270000,0,80,0,0,3,1
270000,0,80,0,0,3,1
270000,0,90,0,0,3,1
270000,0,90,0,0,2,1
295000,0,108,0,0,4,1
300000,0,98,0,0,4,1
330000,0,97,0,0,4,1
672984,1,144,0,0,5,1
710892,1,152,0,0,5,1
82000,0,52,0,0,2,2
92000,0,62,0,0,2,2
101000,0,60,0,0,2,2
103000,0,47,0,0,2,2
110000,0,65,0,0,3,2
124500,0,53,0,0,2,2
130000,0,56,0,0,2,2
135000,0,47,0,0,2,2
135000,0,51,0,0,2,2
136000,0,54,0,0,3,2
143000,0,54,0,0,2,2
149000,0,76,0,0,3,2
149000,0,77,0,0,3,2
149500,0,77,0,0,3,2
150000,0,86,0,0,4,2
151000,0,77,0,0,3,2
151000,0,77,0,0,3,2
151000,0,77,0,0,3,2
164000,0,73,0,0,3,2
165000,0,90,0,0,3,2
178000,0,65,0,0,3,2
199000,0,71,0,0,3,2
316000,0,78,0,0,3,2
74000,0,37,0,0,1.5,3
89000,0,50,0,0,2,3
89000,0,50,0,0,2,3
90000,1,45,0,0,2,3
99200,1,55,0,0,2,3
102000,1,51,0,0,2,3
102000,1,51,0,0,2,3
106000,0,48,0,0,1.5,3
139500,0,59,0,0,2,3
144000,0,79,0,0,3,3
150000,0,68,0,0,3,3
150000,0,76,0,0,3,3
170000,0,84,0,0,4,3
189500,0,77,0,0,3,3
33000,0,25,0,0,2,4
58000,0,75,0,0,3,4
65000,0,25,0,0,1,4
69500,0,31,0,0,0,4
76500,0,31,0,0,1,4
76500,0,31,0,0,1,4
79000,0,29,0,0,0,4
83000,0,62,0,0,3,4
85000,0,40,0,0,1.5,4
85700,0,52,0,0,2,4
85700,0,52,0,0,2,4
93500,0,49,0,0,2,4
95000,0,51,0,0,2,4
95000,0,51,0,0,2,4
102400,1,29,0,0,2,4
106000,0,51,0,0,2,4
270000,0,97,0,0,3,4
337000,1,100,0,0,3,4
35000,0,49,0,0,2,5
47000,0,47,0,0,1,5
89000,0,55,0,0,3,5
89000,0,52,0,0,2,5
130000,0,291,0,0,3,5
145000,0,64,0,0,3,5
150000,0,62,0,0,3,5
295000,1,72,0,0,3,5
324945,1,93,0,0,3,5
337000,1,94,0,0,3,5
337000,1,94,0,0,3,5
46000,0,54,1,0,1.5,1
60000,0,45,1,0,2,1
65718,1,24,1,0,2,1
65718,0,24,1,0,1,1
76570,0,29,1,0,1.5,1
79000,0,56,1,0,2,1
85000,1,46,1,0,2,1
87950,0,49,1,0,1.5,1
94000,0,49,1,0,2,1
96000,0,66,1,0,2,1
97000,0,65,1,0,3,1
100000,0,88,1,0,4,1
100000,0,41,1,0,2,1
103000,0,32,1,0,1.5,1
103000,0,33,1,0,1,1
104000,0,31,1,0,1,1
110000,0,65,1,0,3,1
110000,0,50,1,0,1.5,1
115000,0,86,1,0,3,1
115000,0,55,1,0,2,1
117000,0,62,1,0,2,1
120000,0,85,1,0,3,1
125000,0,60,1,0,3,1
127500,0,61,1,0,2,1
129000,0,48,1,0,2,1
132000,0,61,1,0,2,1
140000,0,58,1,0,2,1
143646,0,59,1,0,3,1
144372,1,73,1,0,3,1
148000,0,90,1,0,3,1
148500,0,61,1,0,3,1
150000,0,93,1,0,3,1
150000,0,61,1,0,2,1
154545,1,75,1,0,3,1
157000,0,58,1,0,3,1
160500,1,51,1,0,3,1
160500,1,50,1,0,2,1
163000,1,78,1,0,3,1
164800,0,89,1,0,3,1
