cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
35000,0,Novo Sarajevo,40,-1,0,1,1
180000,0,Opcina Centar,65,-1,0,2,1
73000,0,Novo Sarajevo,38,-1,0,2,2
88000,0,Novo Sarajevo,68,-1,0,3,2
95000,0,Novo Sarajevo,68,-1,0,3,2
95000,0,Novo Sarajevo,68,-1,0,3,2
270000,0,Stari Grad,100,-1,0,4,2
97500,0,Novi Grad,53,-1,0,2,3
27000,0,Stari Grad,59,-1,0,2,4
69900,0,Opcina Centar,43,-1,0,2,4
86000,0,Opcina Centar,52,-1,0,2,4
790000,0,Ilijas,507,-1,0,5,5
40000,0,Stari Grad,24,0,0,0,1
43500,0,Novo Sarajevo,27,0,0,1,1
45000,0,Novo Sarajevo,42,0,0,1.5,1
47000,0,Stari Grad,24,0,0,0,1
50000,0,Novo Sarajevo,40,0,0,1,1
52000,0,Novi Grad,23,0,0,0,1
64000,0,Stari Grad,49,0,0,2,1
65000,0,Novi Grad,98,0,0,4,1
67000,0,Stari Grad,49,0,0,2,1
75000,1,Novi Grad,47,0,0,2,1
75000,0,Stari Grad,72,0,0,2,1
75000,0,Novo Sarajevo,37,0,0,1,1
80000,0,Vogosca,40,0,0,1.5,1
85000,0,Novi Grad,68,0,0,3,1
89000,0,Novo Sarajevo,30,0,0,1,1
90000,0,Ilidza,56,0,0,2,1
103000,0,Stari Grad,33,0,0,1,1
105000,0,Stari Grad,53,0,0,2,1
106000,0,Ilidza,51,0,0,2,1
110000,0,Opcina Centar,35,0,0,2,1
110000,0,Opcina Centar,49,0,0,2,1
113351,0,Ilidza,54,0,0,3,1
117562,1,Ilidza,68,0,0,3,1
120000,0,Opcina Centar,68,0,0,3,1
125000,1,Novi Grad,59,0,0,3,1
130000,0,Opcina Centar,50,0,0,2,1
135000,1,Opcina Centar,85,0,0,3,1
135000,0,Opcina Centar,55,0,0,2,1
136000,1,Opcina Centar,85,0,0,3,1
143000,0,Opcina Centar,51,0,0,1.5,1
145000,0,Opcina Centar,69,0,0,3,1
145000,0,Ilidza,92,0,0,3,1
146000,0,Novi Grad,77,0,0,3,1
156400,1,Opcina Centar,68,0,0,3,1
157000,1,Opcina Centar,65,0,0,3,1
157000,1,Opcina Centar,65,0,0,3,1
157000,0,Opcina Centar,70,0,0,3,1
160000,0,Novo Sarajevo,68,0,0,2,1
164000,0,Opcina Centar,80,0,0,4,1
165000,0,Opcina Centar,68,0,0,3,1
169000,0,Ilidza,83,0,0,4,1
169600,0,Opcina Centar,53,0,0,2,1
